,totalCalls,utilization,expectNJobs,expectNQueue,expectedWaiting,expectedTotal,totalComplete,totalAssigned,totalUnreachable,rateUnreachable,expectReach,totalHigh,totalCompleteHigh,totalAssignedHigh,expectReachHigh,totalUnreachableHigh,expectWaitingHigh,expectTotalHigh,rateUnreachableHigh,totalLow,totalCompleteLow,totalAssignedLow,expectReachLow,totalUnreachableLow,expectWaitingLow,expectTotalLow,rateUnreachableLow
0,5059,0.3299846552947707,5.279754484716332,0.0,4.19631322789541e-05,21.04033800421025,5052,5058,13,0.002569677801937142,2.4542188232535764,1233,1232,1233,2.4272148659736237,6,0.0,20.830543280849987,0.004866180048661801,3826,3820,3825,2.4629236283061733,7,5.54967916945749e-05,21.107999548498164,0.0018295870360690017
1,5126,0.3400528226024903,5.4425298413616385,0.0016846797217937612,0.007125155117174997,21.414731604704425,5123,5125,13,0.002536090518923137,2.5023738731252316,1297,1296,1297,2.522559570730733,1,0.0,21.209955698795593,0.0007710100231303007,3829,3827,3828,2.4955363568561437,12,0.009538063670051609,21.484078240204255,0.0031339775398276314
2,5084,0.3362015598847137,5.379224958155419,0.0,0.0009489060360567642,21.34485343623103,5078,5083,13,0.0025570416994492528,2.5006474535264798,1291,1287,1291,2.53741839217813,2,0.00035665036607861254,21.19822156985775,0.001549186676994578,3793,3791,3792,2.4881319560840116,11,0.0011499698839232588,21.394633233651877,0.0029000790930661744
3,4955,0.32571149212287837,5.21140213436933,1.8260403276685098e-05,0.001419502323565564,21.211092909061616,4952,4954,6,0.0012108980827447023,2.4564184078361095,1266,1266,1265,2.4349292567429512,3,0.003925728008945484,21.07026404675284,0.002369668246445498,3689,3686,3689,2.463793107018527,3,0.000558709670909303,21.259462236159532,0.000813228517213337
4,5038,0.328261205115875,5.252179281854,0.0,0.00189795091917089,21.028970788366742,5030,5037,20,0.003969829297340214,2.49466256312298,1248,1246,1247,2.520673667325486,5,0.0009980902863226423,21.283710080756006,0.004006410256410256,3790,3784,3790,2.4860997735399484,15,0.002194258093729272,20.945089932574717,0.00395778364116095
5,5105,0.33509314452060074,5.361490312329612,0.0,0.00013422653350378278,21.19098959236213,5095,5104,11,0.0021547502448579824,2.488942417333483,1296,1293,1295,2.4833609361264104,2,0.0,21.73469491701575,0.0015432098765432098,3809,3802,3809,2.490840531346918,9,0.00017987485223613182,21.006084020353406,0.0023628248884221582
6,5030,0.32507259510521214,5.201161521683394,0.0,0.0,20.855098369831897,5026,5029,4,0.0007952286282306163,2.4646611074213784,1277,1275,1276,2.5304409218137747,2,0.0,21.31429912327752,0.0015661707126076742,3753,3751,3753,2.4422963210732047,2,0.0,20.699011736762536,0.0005329070077271516
7,5022,0.3305450949304148,5.288765605409086,4.4086522449165274e-05,0.00041472559141840693,21.236712111780548,5019,5021,10,0.001991238550378335,2.4595762116707536,1263,1262,1262,2.434105002109297,0,0.00046374975865745636,21.074697776868977,0.0,3759,3757,3759,2.4681343754579625,10,0.00039825806438735013,21.29113374890017,0.0026602819898909284
8,5025,0.32419013674788794,5.187042187966207,0.0,0.001112731641025296,20.821231560892098,5022,5024,5,0.0009950248756218905,2.418904763082008,1256,1255,1256,2.4168807230936764,1,0.0044526998416167625,20.91213105434942,0.0007961783439490446,3769,3767,3768,2.419579443078119,4,0.0,20.790947816721953,0.0010612894667020429
9,5053,0.3330286851636127,5.328458962617804,0.0,0.0,21.264406915617027,5050,5052,7,0.001385315654066891,2.4502828910493144,1287,1286,1287,2.426153423036016,1,0.0,21.02775200691002,0.000777000777000777,3766,3764,3765,2.4585225341361703,6,0.0,21.345261913650294,0.0015932023366967605
10,5113,0.33387445126762877,5.342024323861125,3.310357906430981e-05,0.00013063552535014976,21.063303156213717,5109,5112,6,0.001173479366321142,2.4888957356528953,1288,1288,1288,2.473858405608974,1,0.0,20.651942357643517,0.0007763975155279503,3825,3821,3824,2.493959286266378,5,0.00017467074038574068,21.201966518830417,0.00130718954248366
11,5095,0.3366878855032049,5.387006168051278,0.0,0.0,21.319835119270792,5087,5094,8,0.0015701668302257115,2.503777417440067,1232,1229,1232,2.505906227320571,4,0.0,21.030337208140768,0.003246753246753247,3863,3858,3862,2.503098490758011,4,0.0,21.412057237668616,0.0010354646647683149
12,5055,0.3315987294925905,5.305598515720173,1.884383872535623e-05,0.0025156883137377145,21.171086397092598,5049,5054,22,0.004352126607319486,2.5242824485786266,1277,1277,1277,2.5695232822354526,7,0.00011095467102453156,21.527579830266923,0.00548159749412686,3778,3772,3777,2.508986567037783,15,0.0033298041307432114,21.050396547102245,0.003970354685018529
13,5125,0.337086846634332,5.393389546149312,0.0,0.0001996717306188175,21.23134291857213,5117,5124,13,0.0025365853658536586,2.4850023308487503,1283,1281,1283,2.504947306004362,5,0.0007975958201221617,20.717287164358254,0.003897116134060795,3842,3836,3841,2.478341892763209,8,0.0,21.403007522625302,0.002082248828735034
14,4976,0.3279283863262617,5.246854181220187,0.0,0.0017251217993868389,21.26367024841863,4969,4975,7,0.0014067524115755627,2.488850330230357,1263,1262,1263,2.4531375605732557,0,0.0,21.806717328800506,0.0,3713,3707,3712,2.50099825053117,7,0.002312417108484813,21.07879692350848,0.0018852679773767843
15,5081,0.3404124825798622,5.446599721277795,0.0,0.0015663953468712827,21.62184214143246,5076,5080,13,0.0025585514662468016,2.4997787445140447,1299,1299,1299,2.482563018479092,4,0.00074666947057477,21.429428832547323,0.003079291762894534,3782,3777,3781,2.5056933777114536,9,0.0018483185434053494,21.688017647983106,0.002379693283976732
16,5090,0.3387219900872176,5.4195518413954815,0.0,0.0,21.47523598037155,5082,5089,13,0.002554027504911591,2.447653859242348,1264,1261,1264,2.4403838279659222,2,0.0,20.909180539080403,0.0015822784810126582,3826,3821,3825,2.4500537676328666,11,0.0,21.66204464602665,0.002875065342394145
17,4965,0.33024965583390603,5.2839944933424965,0.0,3.577944799312862e-05,21.46458948313364,4959,4964,6,0.0012084592145015106,2.5145282229243517,1246,1244,1245,2.4706399540547745,1,0.0,21.710292626491132,0.0008025682182985554,3719,3715,3719,2.5292323861433608,5,4.776050675583441e-05,21.382313652625772,0.0013444474321054048
18,5085,0.33593112387129653,5.374904750558688,6.768617943566402e-06,0.0006068011512232684,21.321483238899493,5071,5084,20,0.003933136676499509,2.460816273640082,1262,1257,1262,2.453961635651397,4,0.0,21.238127026177704,0.003169572107765452,3823,3814,3822,2.463078429752025,16,0.0008067877917811206,21.34895538346984,0.00418519487313628
19,5104,0.3393741976598972,5.429987162558355,0.0,0.00029475879909470604,21.449313366402585,5098,5103,9,0.0017633228840125393,2.4798021390664027,1301,1299,1301,2.5224665722243795,3,0.0,21.608459086006395,0.0023059185242121443,3803,3799,3802,2.4652067071604002,6,0.0003955462905461467,21.39489633829904,0.0015777018143570865
20,5094,0.33489873605086173,5.358379776813788,0.0,7.178979545760435e-05,21.21872606357773,5090,5093,6,0.001177856301531213,2.529888592346262,1260,1259,1259,2.52408107017921,3,0.000290238331119306,21.343022315560273,0.002380952380952381,3834,3831,3834,2.531796150501316,3,0.0,21.17787798703217,0.000782472613458529
21,5027,0.33169472008299744,5.307115521327959,0.0,0.0,21.298943148326526,5021,5026,7,0.0013924806047344342,2.4437787795673627,1295,1295,1295,2.495071210604207,1,0.0,21.689810156912248,0.0007722007722007722,3732,3726,3731,2.425970817585402,6,0.0,21.163094308788548,0.001607717041800643
22,5040,0.33021051546005153,5.2833682473608246,0.0,0.0009829650307851476,21.133670666986458,5037,5039,18,0.0035714285714285713,2.492688524102885,1285,1284,1285,2.4264759197275643,5,0.0020852624342526122,20.51956726636807,0.0038910505836575876,3755,3753,3754,2.515353200880266,13,0.0006058400997826897,21.34377159061929,0.0034620505992010654
23,5169,0.3392658607605919,5.42825377216947,0.0,0.0007577460272771628,21.17131828957397,5163,5168,11,0.0021280711936544788,2.485396192732179,1359,1356,1359,2.4352555088630843,1,0.0004064228362011842,21.24409567714796,0.0007358351729212656,3810,3807,3809,2.5032810193406037,10,0.0008828824200008369,21.145396004953447,0.0026246719160104987
24,5055,0.33774500537156876,5.4039200859451,0.0,0.004168167046126581,21.562106358250364,5052,5054,14,0.0027695351137487635,2.504187794420391,1276,1276,1276,2.540272696476556,6,4.657189791119537e-05,21.72599633932518,0.004702194357366771,3779,3776,3778,2.4920003050017394,8,0.0055609518472713995,21.506724044730376,0.0021169621593014024
25,5169,0.33936726446084353,5.4298762313734965,0.0,0.0006219605819596755,21.181610448784394,5162,5168,13,0.0025149932288643837,2.501803116985796,1248,1247,1248,2.4322353540748747,2,0.0,21.02630849678594,0.0016025641025641025,3921,3915,3920,2.523945572510619,11,0.000820066545102387,21.231076996457976,0.0028054067839836778
26,5024,0.3296723760212356,5.27475801633977,0.0,0.000538320146149999,21.180465607023205,5019,5023,9,0.0017914012738853504,2.4815996747756586,1251,1251,1251,2.4622780415357646,3,0.002159735262611387,21.895961659968293,0.002398081534772182,3773,3768,3772,2.488009476733523,6,0.0,20.94291636014573,0.0015902464882056719
27,5192,0.347325812672389,5.557213002758224,0.0,0.0,21.594262458768657,5186,5191,9,0.0017334360554699538,2.536852687358608,1300,1300,1300,2.522040474885041,0,0.0,20.926886045130995,0.0,3892,3886,3891,2.5418027840721398,9,0.0,21.817522710371584,0.0023124357656731757
28,5187,0.33953409820864283,5.432545571338285,0.0,0.00019674191645928523,21.126420479539124,5179,5186,8,0.001542317331791016,2.493699397487653,1311,1308,1310,2.4782926987350686,2,0.0002544860878240113,20.950912844933125,0.0015255530129672007,3876,3871,3876,2.498910486771615,6,0.00017723032355175186,21.185724015076364,0.0015479876160990713
29,4969,0.32696670276962175,5.231467244313948,0.0,0.00011720309361932736,21.228906031707133,4964,4968,4,0.0008049909438518816,2.451352833265364,1255,1254,1254,2.4243231419976303,2,0.000463952278091181,20.57345705151773,0.0015936254980079682,3714,3710,3714,2.4604864526894357,2,0.0,21.450451320428837,0.0005385029617662897
30,4919,0.3201853821205331,5.12296611392853,0.0,0.0,21.01850294967337,4911,4918,10,0.0020329335230737954,2.4695780610624185,1223,1222,1223,2.453013330792733,0,0.0,21.487810422767062,0.0,3696,3689,3695,2.475062269270276,10,0.0,20.863042463872205,0.0027056277056277055
31,5013,0.328222647222316,5.251562355557056,0.0,0.0011868878127445422,21.121380689345195,5011,5012,5,0.000997406742469579,2.4793635895562507,1270,1270,1270,2.5383857188669725,3,0.0036829569832568846,21.667465654380177,0.002362204724409449,3743,3741,3742,2.459337379504256,2,0.00033951870112982013,20.935994988838804,0.0005343307507347048
32,5034,0.3295909372978093,5.2738119491869515,0.00035695242200254744,0.0022940378145602748,21.127411692473284,5031,5033,13,0.002582439411998411,2.4923919262968774,1268,1267,1268,2.475736804165598,4,0.002982330802561809,20.916993406685787,0.0031545741324921135,3766,3764,3765,2.497999651964021,9,0.002062351519183563,21.198240589416095,0.002389803505045141
33,5134,0.3387019570024773,5.419231312039637,0.0,0.00428045009548333,21.28715747773831,5131,5133,18,0.003506038176860148,2.517582474260613,1245,1244,1245,2.508843452009169,5,0.0061387667613590855,21.738255121447178,0.004016064257028112,3889,3887,3888,2.5203801298798076,13,0.0036857122687919386,21.142787663286594,0.003342761635381846
34,5073,0.3328169103790165,5.32507069778658,1.3172231542367288e-07,0.00016873442264479788,21.172638472313405,5068,5072,9,0.0017740981667652277,2.516057020957469,1284,1284,1283,2.4914683203674626,4,2.068226966121839e-06,21.214842731250194,0.003115264797507788,3789,3784,3789,2.524389533904835,5,0.00022528817403259387,21.15831757683908,0.0013196093956188968
35,5044,0.3362107945903389,5.379372713445423,0.0,0.00023480901464265023,21.508791442430788,5038,5043,7,0.0013877874702616971,2.504449965445634,1232,1231,1232,2.485392948511642,1,0.00025831334427357913,22.069227948489306,0.0008116883116883117,3812,3807,3811,2.5106090013487496,6,0.00022720884921694143,21.32757333395744,0.0015739769150052466
36,5021,0.32967677860241434,5.2748284576386295,0.0,0.0005524605049620644,21.18774261269237,5015,5020,7,0.0013941445927106153,2.4740786919855915,1261,1259,1261,2.4545989938318287,2,0.0,21.423432489261394,0.0015860428231562252,3760,3756,3759,2.4806116439462023,5,0.0007376436188457809,21.108740068869054,0.0013297872340425532
37,5129,0.3396374432833411,5.434290878340052,9.178580659434945e-05,0.0011427861177678385,21.35775326424534,5125,5128,13,0.0025346071358939366,2.51968811423176,1263,1262,1262,2.5502248297608454,2,0.001466251962332169,20.880145568099095,0.001583531274742676,3866,3863,3866,2.5097119446215075,11,0.0010371133515653572,21.513782493480793,0.0028453181583031556
38,5038,0.3294778573600875,5.2716457177614,0.0,0.0,21.105780781445677,5034,5037,5,0.0009924573243350536,2.460345211394669,1241,1240,1240,2.439953154426958,2,0.0,21.184805060485267,0.0016116035455278,3797,3794,3797,2.4670064734178414,3,0.0,21.07995313094249,0.0007900974453515934
39,5008,0.3316333976428589,5.306134362285742,0.0,0.0005500114749592265,21.368250870842534,5004,5007,5,0.000998402555910543,2.4585320999787688,1257,1255,1256,2.4525441262204737,1,0.00010611200477325903,21.60342055272749,0.0007955449482895784,3751,3749,3751,2.4605387336802287,4,0.000698609457110037,21.289526424119245,0.0010663822980538523
