,totalCalls,utilization,expectNJobs,expectNQueue,expectedWaiting,expectedTotal,totalComplete,totalAssigned,totalUnreachable,rateUnreachable,expectReach,totalHigh,totalCompleteHigh,totalAssignedHigh,expectReachHigh,totalUnreachableHigh,expectWaitingHigh,expectTotalHigh,rateUnreachableHigh,totalLow,totalCompleteLow,totalAssignedLow,expectReachLow,totalUnreachableLow,expectWaitingLow,expectTotalLow,rateUnreachableLow
0,4961,0.3254034210018031,5.206454736028849,0.0,0.0008613372381293054,21.15702778700347,4955,4960,7,0.0014110058455956461,2.4551181375728843,1263,1261,1263,2.4832119686554517,3,0.0033845567128712993,20.84482195511618,0.0023752969121140144,3698,3694,3697,2.445523083852689,4,0.0,21.26360373557139,0.001081665765278529
1,5092,0.3371072503003326,5.393716004805322,0.0,0.00121654584538213,21.362124170737737,5090,5091,13,0.0025530243519245877,2.4772322885003177,1290,1289,1289,2.426109362995257,4,0.00034119532561003083,21.11184224531533,0.0031007751937984496,3802,3801,3802,2.4945780470225505,9,0.001513395837485849,21.447000098617103,0.002367175170962651
2,4975,0.3242988416341417,5.188781466146267,0.0,0.0,21.026504044701223,4973,4974,5,0.0010050251256281408,2.4853829053715346,1251,1250,1251,2.54318635035309,2,0.0,21.189675458132804,0.0015987210231814548,3724,3723,3723,2.4659650456314903,3,0.0,20.97171912211474,0.0008055853920515575
3,5087,0.3310961993177793,5.2975391890844685,0.0,0.001147183675102825,20.996518704660442,5082,5086,17,0.0033418517790446234,2.506892537239073,1294,1291,1294,2.479563078019512,5,0.003038295720210863,21.11586198383273,0.0038639876352395673,3793,3791,3792,2.516216112306331,12,0.000503177964146751,20.955877139529495,0.0031637226469812814
4,5001,0.3320880493977218,5.313408790363549,0.0,0.00019472678447010237,21.432519261206096,4997,5000,7,0.0013997200559888023,2.4580521044198838,1278,1276,1278,2.4260048493683706,1,0.0,21.703785678456548,0.000782472613458529,3723,3721,3722,2.46905597114633,6,0.0002615022149951899,21.33949696923846,0.0016116035455278
5,4991,0.3219026157650213,5.150441852240341,0.0,0.0002090181564496,20.803906204277038,4988,4990,5,0.0010018032458425166,2.4385793516763963,1215,1215,1214,2.3903316013656046,0,0.0,20.28611347207428,0.0,3776,3773,3776,2.4541039853171833,5,0.00027632721027580305,20.970648364262818,0.0013241525423728813
6,4918,0.32160241209501256,5.145638593520201,0.0,0.0010171948322813507,21.098481606470486,4912,4917,10,0.0020333468889792597,2.429715246280557,1213,1213,1213,2.3944983935126998,2,0.0,20.684267181318326,0.0016488046166529267,3705,3699,3704,2.441251309582585,8,0.0013507599394879683,21.2343134793306,0.0021592442645074223
7,4946,0.3310640382338842,5.297728347403465,0.0007037356613181496,0.0035852387540577066,21.59421065196361,4941,4945,11,0.0022240194096239383,2.4732676027279363,1178,1177,1177,2.4496645142730684,5,0.0,21.544451401842284,0.004244482173174873,3768,3764,3768,2.4806466999147285,6,0.004706340245430161,21.609770332461167,0.0015923566878980893
8,5075,0.3347422409695212,5.355875855512339,0.0,0.0008163700317545192,21.283008983295765,5071,5074,15,0.002955665024630542,2.4930357841651847,1273,1272,1273,2.425464104765302,4,0.0,21.467719414644193,0.003142183817753339,3802,3799,3801,2.5156663413543585,11,0.0010897110900308414,21.22116332162817,0.0028932140978432403
9,5043,0.33294248082750205,5.327124199472398,4.450623236530617e-05,0.0013146563350826708,21.30047509921331,5040,5042,10,0.00198294665873488,2.450936601883166,1274,1274,1274,2.4509935616444887,3,0.005200838248678698,21.545540468694625,0.002354788069073783,3769,3766,3768,2.450917348305048,7,0.0,21.217571944481705,0.0018572565667285751
10,5051,0.33195908847737743,5.311345415638039,0.0,0.0011595358070829662,21.224988658073215,5041,5050,13,0.0025737477727182734,2.467665763692237,1203,1202,1202,2.449934658988714,2,0.0,21.68382837285975,0.0016625103906899418,3848,3839,3848,2.4732133629011677,11,0.0015225892168547104,21.081324855735783,0.002858627858627859
11,5056,0.3319351278280199,5.311253717282371,0.0002916720340521749,0.0026293504173423724,21.182985820251453,5049,5055,20,0.003955696202531646,2.493313482612801,1241,1239,1241,2.450610544922211,5,0.0019252578715353039,21.372110111278825,0.0040290088638195,3815,3810,3814,2.5072045299716534,15,0.0028583190956245137,21.12148319647641,0.003931847968545216
12,5046,0.3325516549188829,5.320980189038392,0.00015371033626502488,0.002383583437221122,21.260929088423737,5041,5045,16,0.0031708283789139914,2.494127618388043,1211,1209,1211,2.4774188292832258,6,0.00991645973758739,21.339211186136463,0.00495458298926507,3835,3832,3834,2.4994038487937624,10,6.953101327902561e-06,21.236231004881283,0.002607561929595828
13,5004,0.32669025161005755,5.227149970151796,0.0001059443908750125,0.00042699839621721094,21.056966530127376,5002,5003,6,0.001199040767386091,2.4921440613095456,1250,1249,1249,2.4731072789887416,2,0.0,21.58596346942992,0.0016,3754,3753,3754,2.498482893994949,4,0.0005691036445186488,20.880916123202546,0.0010655301012253596
14,4969,0.3241718155426087,5.186749048681739,0.0,2.974482097425383e-05,21.05885350326362,4962,4968,9,0.0018112296236667338,2.4406112683581833,1189,1185,1189,2.441135986607695,5,0.00012455173137067302,21.156473079888304,0.004205214465937763,3780,3777,3779,2.4404462180939848,4,0.0,21.02822623339329,0.0010582010582010583
15,5222,0.34676459649300956,5.548233543888153,0.0,0.0010991398764346044,21.42357803858468,5218,5221,8,0.0015319800842589046,2.493772396931933,1330,1329,1330,2.567597806090978,3,0.0021230364225091605,21.524805313767366,0.002255639097744361,3892,3889,3891,2.468537805777595,5,0.0007492405424842098,21.388985328706095,0.0012846865364850976
16,5071,0.33575846338925136,5.3721985969690556,6.318274103342778e-05,0.003066948495535342,21.371095929222818,5066,5070,14,0.0027607966870439754,2.488340409711554,1264,1262,1263,2.44681675968215,4,0.0027212557053843465,20.861255282457222,0.0031645569620253164,3807,3804,3807,2.50213433708006,10,0.003181634168818874,21.54023864642003,0.002626740215392698
17,4997,0.3323185371921601,5.31714105645006,4.446137549871264e-05,0.0010030987586920445,21.4597878957701,4988,4996,11,0.0022013207924754855,2.5126002565219836,1267,1266,1267,2.499756927199698,3,0.0,21.556293157605385,0.0023677979479084454,3730,3722,3729,2.516964026500889,8,0.0013442924794078233,21.42696262401205,0.0021447721179624667
18,5086,0.3369429903173958,5.391690581030103,0.0006027359517708275,0.006187270575122499,21.379085056088186,5082,5085,21,0.004128981517892253,2.5284840891368647,1310,1308,1310,2.513258495510416,6,0.007818240402992088,21.251281756092038,0.004580152671755725,3776,3774,3775,2.5337622411646774,15,0.005622005992490432,21.42337936355903,0.003972457627118644
19,5107,0.3387857882935148,5.420572612696237,0.0,0.0,21.410580940332668,5103,5106,6,0.0011748580379870766,2.5188701734281422,1268,1267,1268,2.5980375557964988,3,0.0,21.38844409200067,0.002365930599369085,3839,3836,3838,2.492721634526586,3,0.0,21.41789256359561,0.0007814535035165407
