,totalCalls,utilization,expectNJobs,expectNQueue,expectedWaiting,expectedTotal,totalComplete,totalAssigned,totalUnreachable,rateUnreachable,expectReach,totalHigh,totalCompleteHigh,totalAssignedHigh,expectReachHigh,totalUnreachableHigh,expectWaitingHigh,expectTotalHigh,rateUnreachableHigh,totalLow,totalCompleteLow,totalAssignedLow,expectReachLow,totalUnreachableLow,expectWaitingLow,expectTotalLow,rateUnreachableLow
0,5073,0.85573686347864,7.821291886957921,2.6868707060860815,10.85635305002897,31.147376446969332,5060,5064,2226,0.43879361324659966,14.173023509665795,1288,1286,1286,5.845617120603671,235,2.546629112268457,22.83356550572309,0.18245341614906832,3785,3774,3778,17.00685378654695,1991,13.687912399249958,33.98032845291599,0.5260237780713343
1,4998,0.8498789072434318,7.0149559996316615,1.9156825561710704,7.9434933401417975,28.316568586773528,4990,4995,1985,0.3971588635454182,11.257983194069508,1228,1226,1228,5.678056262629638,201,2.2964028794074696,22.683895263281237,0.16368078175895764,3770,3764,3767,13.076494412702248,1784,9.782848522091928,30.151227857390307,0.47320954907161805
2,4953,0.8426584427520251,7.059398060655972,2.003447404143821,8.335948400990182,28.74902252717267,4950,4950,1882,0.37997173430244296,11.693338789007816,1203,1201,1202,5.753983629981543,196,2.3355154896766184,22.558607763054624,0.1629260182876143,3750,3749,3748,13.59760790107759,1686,10.25819964838618,30.732134858916012,0.4496
3,5035,0.8474643751730732,7.247612740575449,2.16282648953701,8.824723496039692,29.03060502810418,5033,5034,2016,0.40039721946375373,12.186008759180414,1261,1260,1261,5.845085920511342,213,2.52046389964962,22.421008748828413,0.168913560666138,3774,3773,3773,14.303010024872792,1803,10.930042099657898,31.23789135513505,0.47774244833068363
4,4973,0.8349120836849938,7.0616905228146285,2.052218020704666,8.502456314536582,28.656165222912403,4965,4968,1904,0.38286748441584556,11.781736912445847,1249,1247,1248,5.434270435645159,170,2.1274917027406297,22.761356718629074,0.13610888710968774,3724,3718,3720,13.912915845113606,1734,10.64058995383447,30.633256725021408,0.4656283566058002
5,5146,0.8730420434210551,8.365660554510239,3.127408293983908,12.46625958257656,32.84737165229779,5133,5135,2264,0.4399533618344345,15.830009528825991,1350,1347,1347,5.785633120637681,215,2.3945533174226394,22.752868246868147,0.15925925925925927,3796,3786,3788,19.400813176709246,2049,16.049616249021973,36.43883918719312,0.5397787144362487
6,5045,0.8426897568117327,7.4875562216346285,2.4314176807642323,9.929235404091262,29.97747228160412,5032,5037,1908,0.3781962338949455,13.23868714100551,1341,1335,1338,5.698947125198016,213,2.3655282505620887,22.30617116191883,0.15883668903803133,3704,3697,3699,15.965220152127248,1695,12.66051726775408,32.74760671351645,0.4576133909287257
7,5062,0.8610404632592429,8.016648303635334,2.8504055240798762,11.54873596395456,32.00885184187101,5046,5051,2226,0.43974713551955746,14.89708243270364,1284,1279,1281,5.917557686246479,243,2.6117138682861887,22.791218679286928,0.18925233644859812,3778,3767,3770,17.948215377056858,1983,14.583100514089905,35.13849155913807,0.5248808893594494
8,4986,0.8369754071560426,7.139471130917435,2.117618687981179,8.756975181282101,28.87891314952817,4984,4985,1925,0.3860810268752507,12.059618806989155,1257,1256,1257,5.579992906181085,195,2.264737801655179,22.56696739320317,0.15513126491646778,3729,3728,3728,14.242668734943807,1730,10.944274040941815,31.00546998159475,0.4639313488871011
9,5051,0.8460264326334618,7.138750094908088,2.0625914991073175,8.323823769714613,28.440854657585977,5031,5036,1961,0.3882399524846565,11.658759933249032,1204,1204,1204,5.434610939941789,178,2.1623036997005918,22.208128787970892,0.1478405315614618,3847,3827,3832,13.614364157659763,1783,10.262279522078575,30.401712234543524,0.4634780348323369
10,4958,0.8481299612375489,7.732955594218624,2.644175826793331,10.919201107035448,31.465724486029746,4954,4956,2202,0.4441306978620411,14.248317708801308,1267,1264,1267,5.830715708739765,218,2.476765798658722,23.485435690711522,0.17205998421468036,3691,3690,3689,17.138589181451163,1984,13.81113558665284,34.199351867407046,0.5375237063126524
11,5014,0.8404241414982527,7.00115911525703,1.9586142662675132,8.012398542665848,28.1420625337532,4999,5004,1960,0.39090546469884324,11.344567153082098,1235,1235,1235,5.713566457541008,208,2.3883748757154137,22.856283581240415,0.16842105263157894,3779,3764,3769,13.18920531196625,1752,9.857687923293845,29.876370983900195,0.4636147128870071
12,5070,0.8519837115347825,8.082321253205873,2.970418983997177,12.045368946730774,32.310763233149686,5042,5044,2151,0.4242603550295858,15.349336886622035,1279,1270,1271,5.730802004537799,204,2.420137439080823,23.047005338867923,0.1594996090695856,3791,3772,3773,18.589505939134373,1947,15.286101718394463,35.429790944108824,0.5135848061197573
13,4959,0.8427518380115141,7.842551579099095,2.786040551030011,11.529566933695712,31.942178072157716,4948,4950,1971,0.397459165154265,14.837933457001478,1284,1282,1283,5.624166984774234,195,2.3335214499505192,22.74882379091538,0.15186915887850466,3675,3666,3667,18.060742176703645,1776,14.745423537667703,35.15709356276128,0.483265306122449
14,5030,0.8501888003664778,7.945193212768813,2.8440604105699463,11.509421678200512,31.908673089969415,5000,5005,2167,0.4308151093439364,14.898111179495665,1292,1291,1291,5.908978623824833,222,2.535844474275353,22.791847484912918,0.17182662538699692,3738,3709,3714,18.022766572433483,1945,14.63287494599975,35.08198715201523,0.5203317281968968
15,5108,0.8728487688529353,7.801664026880564,2.5645714137629527,10.317398788285562,30.832931204102067,5091,5096,2241,0.43872357086922475,13.748190697915597,1321,1317,1321,6.112432250266706,257,2.7138550844815987,23.566006880660517,0.19454958364875094,3787,3774,3775,16.41949284551734,1984,12.97078168651286,33.36884517706776,0.5238975442302615
16,5090,0.8479847937264143,7.325084572320601,2.237175809962115,9.064743537108331,29.075185105753487,5078,5083,2005,0.393909626719057,12.403208255895096,1303,1298,1300,5.648466949780572,217,2.2870744415664888,22.347774739727004,0.16653875671527243,3787,3780,3783,14.725038953396123,1788,11.392101866741482,31.385285279060984,0.4721415368365461
17,4984,0.8416537099414363,6.814885743790432,1.7649634841418143,7.354270324713722,27.57536990815243,4982,4983,1842,0.36958266452648475,10.667431744148557,1262,1260,1261,5.463400662346898,203,2.2241697154056466,22.61668610081939,0.16085578446909668,3722,3722,3722,12.431936640772333,1639,9.090951347746547,29.25402160004916,0.4403546480386889
18,4904,0.8269175954116811,7.3819290945408955,2.4204235220708097,10.123351464055359,30.38590771008476,4889,4894,1847,0.37663132137030997,13.450803272853225,1224,1224,1224,5.913879114480119,221,2.545168374256375,23.04173826936985,0.18055555555555555,3680,3665,3670,15.964480430850141,1626,12.654237167169672,32.83863987800701,0.4418478260869565
19,4981,0.8474597206792079,7.153288039661608,2.0685297155863607,8.550456471787836,28.962319597197443,4978,4980,2055,0.412567757478418,11.878834607344533,1221,1220,1221,5.627566109278384,203,2.3090200456696444,22.659688870579846,0.16625716625716624,3760,3758,3759,13.90883429780697,1852,10.57668117638182,31.008410466402726,0.4925531914893617
20,5117,0.8707996137242441,7.5130259693414185,2.2882282869959547,9.201471309293687,29.612277499291917,5114,5116,2150,0.42016806722689076,12.547402840395355,1284,1282,1284,5.732313719389739,213,2.4183392224271425,23.215975846527822,0.1658878504672897,3833,3832,3832,14.828581901770313,1937,11.470775937519917,31.75216756162061,0.5053482911557526
21,4908,0.8349357047358108,6.711533542187374,1.7019193137725095,7.210251746505459,27.586691869422804,4904,4907,1780,0.36267318663406684,10.52537614484556,1283,1283,1283,5.434295620788407,195,2.17460419933071,22.770932857845967,0.151987529228371,3625,3621,3624,12.327764752010385,1585,8.9944925095613,29.293021284460934,0.43724137931034485
22,4972,0.8312586679660736,7.162156295093292,2.1746042872968507,9.04110912190639,29.16499840556161,4947,4951,1884,0.37892196299275943,12.334499807303915,1245,1238,1238,5.5384202932031465,197,2.3186200937088843,22.6821970803291,0.15823293172690764,3727,3709,3713,14.602911045981406,1687,11.28495959829046,31.328845275509803,0.4526428763080225
23,5165,0.8651462750182185,7.408344812518171,2.21746716240886,8.790216639351828,28.908903167132017,5148,5153,2043,0.3955469506292352,12.163148667200206,1297,1296,1297,5.732220216211069,215,2.3749318142984865,22.153071029226474,0.16576715497301464,3868,3852,3856,14.32680993851873,1828,10.948630225351083,31.18189341913762,0.4725956566701138
24,5117,0.8542123098921331,7.696444384302566,2.5711705249497676,10.326931612965103,30.351551547570867,5111,5114,2155,0.4211452022669533,13.631756259938314,1297,1295,1295,5.779815285012557,221,2.447792470633147,22.2478096487478,0.17039321511179645,3820,3816,3819,16.296358381829855,1934,13.000800897378072,33.10164215526894,0.506282722513089
25,5049,0.8519282552838705,7.455957842885066,2.344388311181843,9.511953076699596,29.78120273437511,5046,5048,2068,0.4095860566448802,12.843072204664658,1293,1293,1293,5.489992046434727,182,2.1301063240873765,21.921790257992722,0.14075792730085074,3756,3753,3755,15.375038288443966,1886,12.055179256056801,32.48896194886017,0.5021299254526091
