,totalCalls,utilization,expectNJobs,expectNQueue,expectedWaiting,expectedTotal,totalComplete,totalAssigned,totalUnreachable,rateUnreachable,expectReach,totalHigh,totalCompleteHigh,totalAssignedHigh,expectReachHigh,totalUnreachableHigh,expectWaitingHigh,expectTotalHigh,rateUnreachableHigh,totalLow,totalCompleteLow,totalAssignedLow,expectReachLow,totalUnreachableLow,expectWaitingLow,expectTotalLow,rateUnreachableLow
0,4871,0.8193499330728257,6.406033797617285,1.4899341991803305,6.355914384378172,26.526490459228853,4866,4870,1257,0.2580578936563334,9.467726103381723,1215,1215,1215,5.346256829239296,175,2.10882383542087,22.392180724285442,0.1440329218106996,3656,3651,3655,10.83741570077862,1082,7.769284698534052,27.9023289494935,0.2959518599562363
1,4944,0.8509709934657389,7.037591697382263,1.931765736587829,7.972221260690983,28.605839026156698,4940,4943,1449,0.29308252427184467,11.200890395013586,1257,1257,1257,5.537693226193625,166,2.224608714272448,22.843548392248806,0.13206046141607,3687,3683,3686,13.131630520103549,1283,9.933869094209335,30.572496459450818,0.3479793870355302
2,5005,0.8426449870529091,6.793667982337193,1.7377980600197382,7.208797308567938,27.373828796735904,5002,5004,1406,0.2809190809190809,10.337007347292106,1263,1263,1263,5.529420714451211,202,2.253582150083294,22.687113476231847,0.15993665874901028,3742,3739,3741,11.959664193170795,1204,8.882623664589897,28.95695836341058,0.32175307322287544
3,5031,0.8359526655825252,7.054101993366495,2.0383859998713434,8.361440250523659,28.293318131583888,5025,5030,1416,0.2814549791293977,11.451178486499948,1269,1266,1268,5.565428267205809,195,2.271763243706713,22.230172079505163,0.1536643026004728,3762,3759,3762,13.435526074392786,1221,10.412392921614442,30.335335397327878,0.32456140350877194
4,5145,0.8436633736023357,7.234595275510747,2.1726150338967334,8.71438975769177,28.407110840817975,5129,5134,1514,0.2942662779397473,11.816914437659385,1310,1304,1307,5.778674686644482,214,2.4970920291976495,22.558550248733592,0.1633587786259542,3835,3825,3827,13.87698264947377,1300,10.833960015981006,30.400973066197853,0.3389830508474576
5,5045,0.8571379554785935,7.393178128073014,2.2503503952014525,8.745122064796103,29.18834920944936,5022,5027,1508,0.2989098116947473,11.857304024381591,1228,1224,1226,5.564883707325396,185,2.3404892365946517,22.81489191864561,0.15065146579804561,3817,3798,3801,13.886903421569407,1323,10.809174350661971,31.242354402694165,0.34660728320670686
6,5024,0.8380225717957251,7.168167675206147,2.1400322444317963,8.817744324510842,28.891335438566674,4999,5003,1441,0.28682324840764334,11.917569056542774,1242,1238,1240,5.479569403399769,177,2.1812841707108857,23.04521611462751,0.14251207729468598,3782,3761,3763,14.038482863635583,1264,11.00225314408126,30.815689526053166,0.33421470121628766
7,4964,0.8471038195255822,7.053154480623186,1.9705315634696923,8.143061487567516,28.64284994549997,4949,4954,1448,0.29170024174053183,11.245945977494404,1236,1236,1236,5.459566705165664,187,2.182017424643079,23.28984919695553,0.15129449838187703,3728,3713,3718,13.169034114251149,1261,10.127400421522431,30.424780709087617,0.3382510729613734
8,5113,0.870701226063539,8.244446137081717,3.020238780700483,12.094759490455774,32.58750085511828,5098,5102,1647,0.3221200860551535,15.181848331691866,1274,1272,1271,5.778280112957002,207,2.4521391275594433,22.73364040881077,0.16248037676609106,3839,3826,3831,18.30491328579911,1440,15.300565319416604,35.863536006112305,0.37509768168793955
9,5100,0.8561801450759597,7.496896222961686,2.3598153525059278,9.56036025296482,29.690556050342305,5088,5092,1527,0.2994117647058824,12.73126288242916,1255,1254,1255,5.602134043340128,194,2.224878133278678,22.418107300651762,0.15458167330677292,3845,3834,3837,15.063047269465057,1333,11.959602448605516,32.06918169773718,0.34668400520156045
